superstar,stock,client,market,type,action type,Date,avg,count,change,buy count
Hsbc Global Investment Funds,Mankind Pharma Ltd.,HSBC GLOBAL INVESTMENT FUNDS - MANAGED SOLUTIONS ASIA FOCUSED GROWTH,NSE,Block,Purchase,2/8/2024,2107.35,338,0,21
Copthall Mauritius Investment Limited,Mankind Pharma Ltd.,COPTHALL MAURITIUS INVESTMENT LIMITED,NSE,Block,Purchase,2/8/2024,2107.35,47645,0.0001,21
American Funds Insurance Series,Mankind Pharma Ltd.,AMERICAN FUNDS INSURANCE SERIES NEW WORLD FUND,NSE,Block,Purchase,2/8/2024,2107.35,108345,0.0003,21
Citigroup Global Markets Mauritius Private Limited,Mankind Pharma Ltd.,CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD,NSE,Block,Purchase,2/8/2024,2107.35,59062,0.0001,21
Nomura Singapore Limited,Mankind Pharma Ltd.,NOMURA SINGAPORE LIMITED,NSE,Block,Purchase,2/8/2024,2107.35,50043,0.0001,21
Government Of Singapore,Mankind Pharma Ltd.,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,2/8/2024,2107.35,1680714,0.0042,21
CANARA-GROUP,Mankind Pharma Ltd.,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,2/8/2024,2107.35,50043,0.0001,21
SBI Group,Mankind Pharma Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,2/8/2024,2107.35,285465,0.0007,21
SBI Group,Mankind Pharma Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,2/8/2024,2107.35,285467,0.0007,21
ICICI Group,Mankind Pharma Ltd.,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,2/8/2024,2107.35,54160,0.0001,21
Bajaj Allianz Life Insurance Company Ltd.,Nippon Life India Asset Management Ltd.,BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,12/20/2023,445.35,330000,0.0005,14
ICICI Group,Nippon Life India Asset Management Ltd.,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,445.35,4701405,0.0075,14
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,445.35,3268590,0.0052,14
